店铺id,城市,类型,店名,点评,人均,口味,环境,服务
87,北京,云南菜,千景树云南菜馆(欧陆时尚店),544,93,8,8.3,7.4
88,北京,云南菜,山茶云南菜(中关村店)分店,1003,70,8.9,8.8,8.5
89,北京,素菜,嘉福宾舍,156,113,7.2,7.6,7
90,北京,云南菜,云海肴云南菜(北京旧宫万科店),2,90,6.5,6.5,6.5
91,北京,烧烤,木屋烧烤(北京欢乐谷店)分店,5048,98,9,8.8,8.9
92,北京,烧烤,原始泥炉烤肉(二十分店)分店,125,94,9,9,8.6
93,北京,烧烤,韩时烤肉(新世界店)分店,974,86,9.1,9.1,9.2
94,北京,烧烤,StarHot星火烤肉,110,117,8.8,8.9,9.2
95,北京,烧烤,揽月斋烤肉,570,64,8.7,8,8.6
96,北京,烧烤,大田家烤肉(广外分店),37,108,8.3,8.5,8.5
97,北京,西北菜,汉唐小馆(住总万科广场店),261,44,6.9,7.1,6.4
99,北京,西北菜,伊兰轩餐厅,150,51,7.1,6.8,6.6
101,北京,西北菜,关中面馆,36,46,7.6,7.5,7.6
104,北京,火锅,龙门阵串串香(东直门簋街店)分店,574,84,9,8.5,9
106,北京,火锅,首尔798·POCHA,276,89,9,9.1,9.2
107,北京,火锅,甲丁南坪打边炉,56,103,8.7,8.7,8.6
108,北京,火锅,古铜老院爆肚涮肉(双井店)分店,558,96,9,8.9,8.4
109,北京,火锅,黔道老坛酸菜鱼火锅(国鹏大厦店),2920,81,8.7,9,8.8
110,北京,火锅,芦月轩羊蝎子(西三旗店)分店,1901,71,8.9,8.3,8.1
111,北京,韩国料理,大田家烤肉,735,105,9.1,9.1,9.1
112,北京,韩国料理,犟牛家·榴莲烤肉(欧美汇店)分店,751,87,8.3,7.9,8.1
113,北京,韩国料理,竹碳谷正一品(1号店),158,167,8.1,7.7,7.8
114,北京,韩国料理,长颈鹿紫菜包饭,150,20,8,7.5,8
116,北京,韩国料理,正一味(肖家河华联店),142,40,7.3,7.4,7.4
117,北京,海鲜,威海渔村广告,39,75,7.2,7.4,7.5
118,北京,海鲜,东海海鲜会馆,26,1060,8.5,8.2,8.3
119,北京,海鲜,管氏翅吧(地安门店)分店,2659,73,8.3,7.2,7.3
120,北京,海鲜,海边小馆,520,81,8.5,7.9,8
121,北京,海鲜,海之旅海鲜烤肉自助(BHGMall店),689,71,7.1,7.7,7.7
122,北京,海鲜,顺天旺大连海鲜饺子馆(车公庄总...分店,1036,66,7.6,6.7,6.8
123,北京,海鲜,湘红天海鲜乡土菜(丰管路店),130,115,7.9,7.7,7.6
124,北京,海鲜,秘辣(东坝店)分店,72,89,7.2,7.2,7.1
125,北京,海鲜,胶东海鲜,35,44,6.9,6.8,6.9
126,北京,东南亚菜,PHO_田越南粉(国贸商城店)分店,162,93,7.8,8.4,8.2
127,北京,东南亚菜,跃界(中关村店),427,84,7.5,8.7,8.4
129,北京,西餐,TIAGO SELECT(西单大悦城店)分店,1540,194,8.7,8.9,9
130,北京,西餐,王品牛排(北京西单店)分店,4886,365,8.5,9,9
131,北京,西餐,B-787 Cafe & Bar,74,120,9,9.1,9.1
132,北京,西餐,Fire Works美式烤肉西餐&酒吧(北...分店,872,129,8.5,8.6,8.5
133,北京,西餐,皇后饼店(三里屯店),3887,69,7.6,8.3,7.6
134,北京,西餐,聚乐港(西直门凯德店)分店,2354,72,7.7,8.4,7.6
135,北京,贵州菜,黔味居(黔人世家小馆)分店,65,45,7.6,7.3,7.4
136,北京,贵州菜,集天味道(安贞店)分店,1245,53,7.6,7.4,7.3
137,北京,西餐,星期五餐厅(金融街店)分店,2847,180,7.7,8.1,7.5
138,北京,西餐,汉堡王(龙德广场店)分店,158,30,8.4,8.1,7.7
139,北京,贵州菜,贵州家乡菜,603,87,8.2,7.2,7.3
140,北京,小吃快餐,船歌鱼水饺(凯德mall大峡谷店)分店,1370,77,8.8,8.9,8.9
141,北京,小吃快餐,金波亭,56,33,8.6,8.1,8.8
142,北京,小吃快餐,海边小馆,520,81,8.5,7.9,8
143,北京,小吃快餐,碳花烤羊腿(北新桥三条店)分店,1203,93,8.1,6.8,7.2
144,北京,小吃快餐,鲍师傅(紫竹桥店),24,24,7.8,7.3,7.7
145,北京,小吃快餐,不如见面(上地西路店),537,35,8,8.6,8.2
146,北京,其他,西部马华牛肉面(学院路店)分店,1187,36,8.5,8.5,7.7
147,北京,其他,巷 craft beer & whiskey,81,137,7.7,7.5,7.8
148,北京,其他,晋B2008刀削面(彰化路店)分店,539,24,8.7,7.9,7.9
151,北京,日本菜,景鹤和风●料理(八角店),139,73,9,9.1,9.1
152,北京,日本菜,和枫の宴(清真),219,158,9,9.2,9.2
153,北京,自助餐,昆仑饭店天庭咖啡厅,477,255,7.6,8.5,8.2
154,北京,自助餐,铁木真(垡头店)分店,3497,104,7.3,7.3,7.3
156,北京,面包甜点,鲜芋仙(金源新燕莎MALL店),160,25,7.8,7.6,7.4
157,北京,面包甜点,宇治茶铺(来福士店),773,22,7.2,7.2,7.4
158,北京,面包甜点,多乐之日(北苑家乐福店),171,36,8.5,8.2,8.2
159,北京,面包甜点,鲜芋仙(龙湖大兴天街店),84,22,8.1,8.3,7.8
164,长春,川菜,你的心跳酸菜鱼(欧亚新生活),47,41,8.2,8.4,8.6
166,长春,川菜,巴渔人家,661,50,7.9,7.7,7.5
167,长春,川菜,李家小馆(德惠店),5,64,7.5,7.5,7.5
168,长春,川菜,_辣坊麻辣香锅烤全鱼,1,30,7.1,6.8,6.8
169,长春,川菜,川香楼火锅,4,30,7,7,7
171,长春,川菜,北京麻辣香锅,1,10,7,6.9,6.9
184,长春,面馆,吉妈妈手擀面(一汽高专店),3,15,7.5,7.5,7.5
187,长春,面馆,兰州正宗牛肉拉面(飞跃路店),3,13,7,7,7.1
188,长春,海鲜,蚝掌柜,12,56,7.4,7.2,7.2
189,长春,海鲜,龙门花甲时尚海鲜,10,20,7.5,7.3,7.5
190,长春,海鲜,海川尚品,3,27,6.9,6.9,6.9
194,长春,火锅,德羊府老北京羊蝎子火锅(建设街...,351,67,9,9.1,9
195,长春,火锅,十一越猪蹄火锅,162,38,8.5,8.1,8.6
196,长春,火锅,蜀香楼火锅(东风店)分店,305,69,8.1,8.2,7.8
197,长春,火锅,康二姐(金川街店),250,69,8,7.8,7.8
198,长春,火锅,鲜入围煮彝乡牛汤火锅,31,82,7.7,8.4,8.2
199,长春,火锅,将军府火锅,22,37,7.5,7.6,8
200,长春,火锅,四牌楼老北京炭火锅,52,73,7.6,7.5,7.6
201,长春,火锅,麻辣三国,4,37,6.5,6.5,6.5
202,长春,火锅,龙祥斑鱼庄,13,50,7.5,7.3,7.5
203,长春,火锅,福顺德老北京炭火锅,18,53,7.4,7.4,7.4
204,长春,火锅,老北京碳火锅,19,50,7.2,7.2,7.3
205,长春,火锅,阿田大虾麻辣火锅店,24,39,7.3,7.3,7.5
206,长春,小吃快餐,东方饺子王(中东自由大路店)分店,283,33,7.7,7.8,7.4
208,长春,小吃快餐,喜家德水饺,27,32,7.4,7.2,7.4
209,长春,小吃快餐,老妈手擀面(人民大街店)分店,162,44,7.2,6.7,6.7
210,长春,小吃快餐,姐弟俩土豆粉分店,22,15,7.4,7.4,7.4
211,长春,小吃快餐,派乐汉堡(高新园区店),1,15,7.4,7.4,7.4
212,长春,小吃快餐,米家乐粥铺,31,23,7.3,7.3,7.2
213,长春,韩国料理,春明风味馆(经开一区店),108,31,7.3,6.3,6.6
214,长春,韩国料理,竹林小木屋,27,49,7.6,7.5,7.6
216,长春,韩国料理,韩一馆,52,29,6.7,6.7,6.7
217,长春,韩国料理,金子酱汤馆,143,24,7.1,6.2,6.4
219,长春,韩国料理,金三顺紫菜包饭分店,8,19,7.1,7.1,7.2
220,长春,韩国料理,金三顺紫菜包饭,4,19,7,7,7
222,长春,韩国料理,金三顺紫菜包饭(繁荣路店),3,11,7.2,7.2,7.2
225,长春,西餐,Safa西餐咖啡,3,41,7.7,7.7,7.7
227,长春,西餐,吉姆家的厨房(欢乐城店),21,84,7.5,7.7,7.6
231,长春,西餐,米之兰比萨(九台店),1,30,7.1,7.1,7.1
233,长春,面包甜点,焙斯特味道85度(富豪花园店)分店,302,21,8.1,8.1,8
235,长春,面包甜点,焙斯特味道85度(大经路店)分店,339,15,8.3,8.2,8.3
236,长春,面包甜点,相思蜜哒甜品店,52,32,8,8.4,7.6
237,长春,面包甜点,米旗(前进店)分店,96,21,7.6,7.6,7.6
239,长春,其他,九段烧传统中国菜(欢乐城店),299,65,8.5,8.8,8.7
242,长春,其他,星巴克(中东新天地店),54,50,7.6,7.8,7.6
243,长春,其他,郭记北京果木烤鸭,8,50,7.2,7.1,7.1
245,长春,其他,哈贝贝咖啡,23,43,7,7.1,7.3
246,长春,家常菜,泰昌家常菜饺子馆,3,25,7,7,7
255,长春,东北菜,朝鲜湾,38,59,7.1,7.3,7
257,长春,东北菜,313羊庄,2,49,7.3,7.3,7.3
260,长春,东北菜,乐品庄稼院,2,40,7.3,7.3,6.9
262,长春,烧烤,国发烤猪手总店,129,62,8.6,7.7,7.9
263,长春,烧烤,大年初一草原烽煌环保有机烤肉(...,177,81,9,9.1,9
266,长春,烧烤,老钎海鲜串烧工厂,21,50,7.6,7.7,7.7
267,长春,烧烤,王季铁锅烤肉面片店(面片店),5,32,7.6,7.3,7.6
271,长春,日本料理,前进大厦大唐日本料理,71,209,7,7.2,7.1
275,长沙,私房菜,闲庭小聚(雨花亭店)分店,170,63,8.7,9,8.4
281,长沙,小龙虾,忆口香龙虾(直营四店),17,32,7.2,7,7
283,长沙,小龙虾,巴陵亿口香(月湖店),6,30,6.9,6.9,6.9
284,长沙,小龙虾,湘军巷(太平街店),38,43,7.1,7.2,7.3
292,长沙,湘菜,炊烟时代(星沙店)分店,871,48,7.7,7.6,7.7
293,长沙,湘菜,湘厨,2,25,7.2,6.8,6.8
294,长沙,湘菜,明城国际大酒店美食街中餐厅,19,62,7,6.8,6.9
295,长沙,湘菜,吃铺(中南大学店)分店,44,53,7.4,7.3,7.3
296,长沙,粤菜,点心意,25,75,7.5,7.9,7.4
297,长沙,粤菜,品满楼饭庄,3,34,7.2,7.2,7.2
307,长沙,海鲜,一尾寻仙海鲜外送(四方坪店)分店,47,190,7,6.9,7.3
308,长沙,海鲜,白泥湖大闸蟹,1,28,7,7,7
318,长沙,粉面馆,清真兰州拉面,3,15,7.2,7.1,7.1
322,长沙,粉面馆,重庆酸辣粉,3,13,7.2,7.2,7.2
323,长沙,粉面馆,和泰面馆(新建西路店)分店,16,11,7,7,7.1
324,长沙,烧烤,汉拿山(长沙开福万达店)分店,1738,84,7.6,8,7.4
325,长沙,烧烤,浏城桥蒋哥烧烤,44,53,7.6,7,7.2
326,长沙,烧烤,尚槿格调韩式料理(望城奥特莱斯...分店,306,60,7.6,7.5,7.6
327,长沙,烧烤,川西火焰山西昌正宗火盆烧烤,1,35,7.2,7.2,7.2
331,长沙,自助餐,纸上馋韩式自助烤肉(都市学院店),10,38,6.9,6.9,6.9
332,长沙,小吃快餐,野兽派煎饼果子(大学城店)分店,388,15,7.7,8.4,8.5
333,长沙,小吃快餐,阳意子·长沙小吃(县正街店),8,35,7.7,7.6,7.5
335,长沙,小吃快餐,四姐米粉,311,14,7.5,7,7.1
336,长沙,小吃快餐,麦当劳(长沙友阿奥特莱斯店)分店,43,23,7.2,7.3,7.2
337,长沙,小吃快餐,麦当劳(汽车东站餐厅),31,28,7.5,7.6,7.6
338,长沙,小吃快餐,麻辣烫,2,10,6.9,6.9,6.9
339,长沙,小吃快餐,华莱士(泉塘店)分店,72,19,7.3,7.3,7.3
340,长沙,小吃快餐,松桂坊腊味煲仔饭(梓园路店)分店,72,23,7,7.1,7.1
345,长沙,面包甜点,净果甜品(司门口店)分店,552,26,8.2,8.1,8
346,长沙,面包甜点,酒窝甜品(德思勤城市广场店),175,45,7,7.3,7.2
347,长沙,面包甜点,鲜芋仙(步步高梅溪新天地店),89,30,7.2,7.3,7.2
348,长沙,面包甜点,1点点(_城_店),18,13,7.6,7.6,7.6
350,长沙,面包甜点,罗莎蛋糕(蔡锷北店)分店,266,19,7.8,7.7,7.6
351,长沙,其他,尚粤粥铺(玛依拉店),39,20,7.4,7.3,7.2
353,长沙,其他,花与麋鹿,22,66,7.3,7.4,7.4
359,长沙,川菜,苏菲玛索全球红酒体验中心,2,100,7,7,7
360,长沙,川菜,紫燕百味鸡(桔园店)分店,17,21,7.2,7,7.2
361,长沙,川菜,一号锅烤鱼干锅,211,38,7.2,7.1,7
362,长沙,川菜,重庆饭店,2,25,7,7,7
363,长沙,火锅,董记老清泉北京涮羊肉(总店),415,70,8.7,8,8.5
364,长沙,火锅,犟娃重庆老火锅,67,78,7.4,7.9,7.4
365,长沙,火锅,虾吃虾涮(王家湾步步高店)分店,129,75,8.1,8,8.4
367,长沙,火锅,韩疯味韩式自助烤肉火锅店,21,40,7,7.1,7.3
370,长沙,咖啡厅,美丽人生中西餐厅(水晶店)分店,365,44,7.8,8,7.9
372,长沙,咖啡厅,MORE· 大客厅,15,75,7,7.3,7.3
373,长沙,咖啡厅,星巴克(步步高店),6,35,7.3,7.4,7.4
378,长沙,西餐,纽约客炸鸡汉堡店(乐和城店),95,13,8.4,8,8.5
379,长沙,西餐,优益沙拉吧,70,36,8.6,8.5,8.5
380,长沙,西餐,吃不胖沙拉(星沙店),5,30,7.3,7.4,7.6
382,长沙,西餐,哆哆基(宁乡南站店),51,20,7.4,7.4,7.5
384,长沙,西餐,预见披萨(北盛店),1,15,6.9,6.9,6.9
386,常州,私房菜,五花马私房菜,8,50,6.9,6.8,6.8
391,常州,农家菜,高老庄土菜馆(新城蓝钻),8,50,7.2,7.1,7.1
392,常州,川菜,鱼家我家酸菜鱼(红梅店)分店,68,60,8.3,8.4,8.3
394,常州,川菜,老妈米线(常州万达店),379,24,7.7,7.6,7.5
395,常州,川菜,桐趣风味酒楼(府翰店),45,83,7.2,7.1,6.7
398,常州,川菜,老地方川菜,1,27,7.1,7.1,7.1
404,常州,咖啡厅,环洲绿岛咖啡(莱蒙店)分店,445,33,7.8,7.9,7.7
405,常州,咖啡厅,STREAM 清川咖啡(莱蒙城店)分店,16,50,7.8,7.9,7.9
407,常州,咖啡厅,星巴克(常州邹区时代广场店)分店,7,39,7.4,7.3,7.4
413,常州,面馆,王师傅私房牛肉面(翠竹店),5,21,7.4,7.4,7.4
414,常州,面馆,西门拉面馆,15,10,7.2,6.9,6.9
415,常州,面馆,老杨小面,4,15,7.1,7.1,7.1
424,常州,粤菜,诚记港式烧腊,11,32,7.3,7.4,7.6
428,常州,火锅,能人居北京涮羊肉(清潭店),25,53,7.6,7.6,7.7
429,常州,火锅,东来顺饭庄(光华店)分店,187,83,7.7,7.5,7.6
433,常州,小吃快餐,忘不了(西夏墅店)分店,732,16,8.3,8.3,8.3
434,常州,小吃快餐,绝味鸭脖(万达金街店),267,46,8.4,8.4,8.2
435,常州,小吃快餐,西府秦味岐山臊子面(吾悦国际广...,14,16,6.9,7,7.2
436,常州,小吃快餐,德克士(金谷广场店)分店,149,23,7.1,7.2,7.2
437,常州,小吃快餐,腊汁肉夹馍(双桂坊店),159,17,7.9,7.6,7.9
438,常州,小吃快餐,豆腐王朝,18,10,7.6,7.6,7.7
439,常州,烧烤,胖子烤味,3,18,7.5,7.5,7.5
440,常州,烧烤,蒙古大占烤全羊&龙虾(盱眙阿海龙...,2,66,7.3,6.9,7.1
441,常州,烧烤,图门烧烤,10,42,7,7,7
442,常州,烧烤,东北原味阿涛海鲜烧烤城,13,44,6.6,6.6,6.6
444,常州,烧烤,苏州金门烧烤,2,20,6.9,6.9,6.9
447,常州,日本料理,N多寿司(河湖店)分店,1,13,7.5,7.5,7.4
449,常州,日本料理,常州香格里拉大酒店,231,236,8.3,9.1,8.7
451,常州,西餐,_腾牛排(新北万达店)分店,210,69,7.5,7.7,7.5
452,常州,西餐,胜富乐意大利披萨(莱蒙店),16,29,7.2,7.3,7.3
453,常州,西餐,爱琴海骨汤麻辣烫店,2,39,7.1,7.1,7.1
454,常州,西餐,馨悦美食,1,70,6.9,6.9,6.9
458,常州,自助餐,福记逸高酒店(自助餐厅),213,183,8.9,9,8.9
459,常州,自助餐,爱永尚环球自助美食餐厅,230,61,8.1,8.1,8.2
460,常州,面包甜点,泰芒了(常州总店)分店,35,26,7.8,7.8,7.9
462,常州,面包甜点,麦子田间蛋挞店(勤业店),10,11,7.8,7.8,7.8
463,常州,面包甜点,手感蛋挞(莱蒙店)分店,438,13,8.2,8.1,8.2
464,常州,面包甜点,CoCo都可(局前街店),19,10,7.5,7.5,7.3
465,常州,面包甜点,玛卡玛卡滋蛋仔(百货大楼店),52,21,7.6,7.6,7.6
466,常州,其他,果碳烤鸭(机电店),628,12,8.5,8.4,8.6
468,常州,其他,彭记开心花甲(新北万达店),12,15,7.8,7.8,7.8
471,常州,其他,姥家大锅台(九龙店),17,69,7.2,7.3,7.4
476,常州,小龙虾,弄堂龙虾排档,4,56,7,7,7
478,常州,小龙虾,盱眙龙虾,1,30,6.9,6.9,6.9
485,常州,江浙菜,上海酒楼(会馆浜路店)分店,47,72,7.7,7.6,7.7
487,常州,江浙菜,天目湖九号,5,57,7.3,7.3,7.3
488,常州,江浙菜,常新特农食府,2,78,7.1,7.1,7
490,常州,韩国料理,西蒙纸上烤肉,6,50,7.6,7.6,7.7
492,常州,韩国料理,伙拼份子,3,66,6.9,6.9,7
493,成都,川菜,捉鸭记吮指鸭爪爪干锅(奥克斯广...,423,58,8.2,8.1,7.9
494,成都,川菜,成都映象(天府二街店),433,95,7.8,8.3,7.9
495,成都,川菜,又一味炭火鱼片(新城吾悦广场店),137,68,7.7,8.4,7.8
506,成都,兔头/兔丁,廖记棒棒鸡(双林中横路直营店)分店,75,20,7.5,7.5,7.5
508,成都,小龙虾,久香园·酒文化体验社,16,49,7.1,7,7.2
509,成都,小龙虾,湖北杨记虾铺,50,64,7.3,7.1,7.2
514,成都,粤菜,广东潮汕风味餐厅,18,58,7.9,7.5,7.9
516,成都,粤菜,避风塘(文翁路店),5,75,7.5,7.4,7.4
518,成都,东北菜,铁饭碗(丽都店),7,25,7.3,7.4,7.3
521,成都,粤菜,吉旺港式茶餐厅,3,80,6.9,6.9,6.9
525,成都,东北菜,灌县老妈砂锅串串,3,56,6.9,6.9,6.8
531,成都,私房菜,钰花园生态私房菜,27,66,6.9,6.9,6.9
532,成都,私房菜,1314cm私房餐厅,48,155,7.4,7.5,7.6
533,成都,私房菜,五蕴精致菜馆,33,151,7.6,7.8,7.6
535,成都,烧烤,__烧烤馆,20,62,7.8,8.1,8.1
536,成都,烧烤,滋滋烤鱼(盐市口店)分店,1533,72,8.1,7.9,7.7
537,成都,烧烤,何师烧烤(东门形象店)分店,1346,77,7.6,7.7,7.6
538,成都,烧烤,好吃西昌花园主题火盆烧烤,23,67,7.5,7.3,7.5
539,成都,烧烤,塞外风情碳烤羊腿(永立星城都店)分店,21,88,7.2,7.2,6.8
540,成都,烧烤,草屋烧烤,14,50,6.4,6.3,6.4
542,成都,海鲜,U33猎潜艇牛排海鲜自助(龙湖三千...分店,673,74,7,7.3,7.4
543,成都,烧烤,钟记西昌自助火盆烧烤,23,62,6.8,6.6,7
544,成都,海鲜,醉烧刀自助海鲜烤肉涮涮锅(百伦...,309,60,6.9,7.3,7
546,成都,海鲜,祥宇酒店祥景海鲜自助餐厅,100,107,7.6,7.9,8.1
547,成都,海鲜,吉布鲁牛排海鲜自助(新都静安路...,34,76,7,7.3,7.3
548,成都,海鲜,东桥渔港海鲜酒楼,17,78,7.3,7.2,7.4
552,成都,海鲜,馋味轩海鲜自助烤肉(阳光城店),53,42,7.3,7.3,7.5
556,成都,串串香,小郡肝砂锅串串(成飞店),58,52,7.9,7.8,7.7
557,成都,串串香,钢管厂五区小郡肝串串香(金沙店)分店,19,47,7,7,7.1
558,成都,串串香,何老二冷锅串串分店,43,36,6.9,6.6,6.9
559,成都,串串香,钢管厂小郡肝串串(郫县中信城店),68,51,7.3,7.3,7.7
560,成都,串串香,厕所串串(总店),21,65,6.3,6.6,6.6
562,成都,串串香,厕所串串(桂王桥北街店)分店,55,30,7.3,6.8,7.2
563,成都,北京菜,守柴炉北京烤鸭(蜀汉路店)分店,536,48,8.3,7.7,7.6
564,成都,串串香,茴香记小郡肝砂罐串串,11,56,7.1,7.1,7.1
565,成都,韩国料理,八品道_记锅食_(海滨城店),10,48,7.2,7.2,7.1
566,成都,韩国料理,风云堂韩式烤肉(成华店),45,47,6.9,6.5,6.7
567,成都,韩国料理,思密达炭火烤肉(钱江美域店),35,49,7.2,7.2,7.1
568,成都,韩国料理,三国惹火烤肉(海上海店),53,71,7.2,7.5,6.9
571,成都,小吃快餐,小名堂担担甜水面(红星路店)分店,812,16,8.1,7.6,7.8
572,成都,小吃快餐,小吃地儿,68,16,8.2,7.7,7.3
573,成都,小吃快餐,人民大食堂旗舰店,40,50,7.6,7.6,7.6
574,成都,小吃快餐,本家章鱼烧(总店),247,12,7.9,7.8,8.1
575,成都,小吃快餐,廖记棒棒鸡(长顺上街直营店)分店,421,48,8.4,8.5,8.3
577,成都,小吃快餐,德克士(石人公园店)分店,31,17,7.2,7.4,7.3
578,成都,日本料理,炙景台烧肉居酒屋(银泰城店),116,102,8.3,8.3,9
579,成都,日本料理,丰寿司(小食堂),64,67,7.5,7.6,7.5
580,成都,日本料理,佳咖喱JACURRY,817,47,8.2,8.1,9
581,成都,日本料理,兄弟船刺身(西安北路店)分店,733,83,8.5,8.6,8.7
582,成都,日本料理,花里寿司(伊藤洋华堂店),1079,72,6.9,7.2,7.3
584,成都,粉面馆,陕西面馆,10,17,7,7.1,6.9
585,成都,粉面馆,自力面店,384,12,7.7,6.8,7.3
587,成都,粉面馆,钱坤面(2店),62,12,7.4,7.3,7.4
588,成都,粉面馆,全家福米线,83,10,8.1,6.3,7
589,成都,粉面馆,吾家板凳面,13,24,7.5,7.6,7.5
590,成都,粉面馆,_水越过桥米线(牛市口店),136,17,7.3,7.5,7.4
596,成都,自助餐,望江宾馆普吉岛餐厅,137,120,7.3,8,7.5
598,成都,自助餐,战旗红火锅自助餐厅,28,64,6.9,7.3,6.9
599,成都,自助餐,鱼跃食光河鲜自助火锅,13,45,7.1,7,7
600,成都,自助餐,花乡风情苑农家乐(三圣乡店),7,50,7.1,7.3,7.1
609,成都,面包甜点,一糖一会(阳光新业中心店)分店,763,36,8,8.4,8.2
611,成都,面包甜点,1__(南_帽店),394,14,8,7.7,8.3
612,成都,面包甜点,早安巴黎(新世纪环球中心店)分店,1298,29,8.2,8.1,7.7
613,成都,面包甜点,早安巴黎(万达锦华店)分店,1453,29,7.7,7.7,7.4
614,成都,面包甜点,大通冰室(大悦城店)分店,300,13,7.7,7.6,7.7
615,成都,面包甜点,爱达乐(成都东方广场店),97,16,7.6,8,7.7
616,成都,火锅,锦城印象火锅酒楼(高新店)分店,1445,101,8.8,8.5,8.5
617,成都,火锅,蛙来哒(金牛万达广场店)分店,514,71,8.4,8.7,8.6
618,成都,火锅,渝北十碗水老火锅,286,70,8.6,8.3,8.6
