员工满意度,考核评分,项目数量,每月在公司工作时间,司龄,工作事故,是否离职,五年内是否升职,部门,薪水
0.87,0.65,4,246,2,1,0,0,sales,low
0.19,0.98,5,226,4,1,0,0,accounting,low
0.33,0.4,4,212,2,1,0,0,accounting,low
0.94,0.93,4,220,3,0,0,0,accounting,low
0.77,0.49,4,266,2,0,0,0,hr,low
0.48,0.82,3,183,2,0,0,0,hr,low
0.7,0.74,5,263,3,1,0,0,hr,low
0.54,0.93,4,161,4,1,0,0,hr,low
0.61,0.98,4,199,2,0,0,0,technical,low
0.97,0.4,4,258,4,1,0,0,technical,medium
0.6,0.85,3,209,2,1,0,0,technical,medium
0.93,0.84,5,135,3,0,0,0,technical,medium
0.48,0.69,4,222,2,0,0,0,technical,medium
0.16,0.76,5,192,3,0,0,0,technical,medium
0.18,0.75,3,250,3,0,0,0,technical,medium
0.84,0.75,3,187,3,1,0,0,technical,medium
0.69,0.63,4,217,3,0,0,0,technical,medium
0.22,0.88,4,213,3,1,0,0,technical,medium
0.83,0.52,4,273,3,0,0,0,technical,medium
0.58,0.5,2,132,3,0,0,0,support,medium
0.61,0.62,4,140,3,1,0,0,support,medium
0.67,0.5,4,173,2,1,0,0,support,high
0.56,0.76,4,189,2,0,0,0,support,low
0.74,0.74,3,156,3,0,0,0,support,medium
0.92,0.97,4,238,5,1,0,0,support,medium
0.81,0.68,5,230,2,0,0,0,support,medium
0.48,0.49,4,242,2,1,0,0,support,medium
0.73,0.72,4,197,3,0,0,0,support,low
0.97,0.66,6,164,5,0,0,0,support,low
0.15,0.51,6,248,5,0,0,0,support,low
0.69,0.76,5,255,6,0,0,0,technical,low
0.61,0.68,5,225,4,0,0,0,technical,low
0.86,0.58,3,151,2,0,0,0,technical,low
0.55,0.88,4,252,3,0,0,0,management,low
0.9,0.74,4,206,4,1,0,0,IT,low
0.65,0.4,2,141,2,0,0,0,IT,low
0.81,0.92,5,259,3,0,0,0,IT,low
0.65,0.86,5,250,3,0,0,0,IT,low
0.47,0.86,4,169,6,0,0,0,IT,low
0.93,0.53,3,200,3,1,0,0,product_mng,low
0.77,0.9,4,104,5,0,0,0,product_mng,low
0.87,0.82,6,176,3,0,0,0,product_mng,low
0.87,0.84,5,137,2,0,0,0,product_mng,low
0.65,0.75,2,151,3,0,0,0,IT,low
0.21,0.7,6,130,6,1,0,0,RandD,low
0.75,0.59,4,199,2,0,0,0,RandD,low
0.72,0.86,4,191,2,0,0,0,RandD,low
0.88,0.63,3,273,3,1,0,0,RandD,low
0.66,0.58,3,205,3,0,0,0,RandD,medium
0.8,0.75,3,181,3,0,0,0,marketing,medium
0.22,0.55,4,261,3,1,0,0,sales,medium
0.92,0.69,3,192,3,0,0,0,accounting,medium
0.54,0.77,4,271,3,0,0,0,support,medium
0.91,0.56,4,158,3,0,0,0,technical,medium
0.77,0.83,4,231,2,0,0,0,management,medium
0.61,0.51,3,156,3,1,0,0,marketing,medium
0.48,0.9,4,201,4,0,0,0,marketing,medium
0.25,0.69,3,187,4,0,0,0,marketing,medium
0.91,0.7,3,132,4,0,0,0,sales,medium
0.72,0.58,5,147,3,1,0,0,sales,medium
0.77,0.71,4,223,3,0,0,0,sales,high
0.41,0.4,2,194,2,0,0,0,sales,low
0.51,0.49,4,234,2,0,0,0,sales,medium
0.72,0.79,3,149,3,0,0,0,sales,medium
0.47,0.57,3,162,3,1,0,0,sales,medium
0.53,0.67,4,238,2,0,0,0,sales,medium
0.65,0.52,5,149,3,0,0,0,sales,low
0.18,0.75,4,170,5,0,0,0,sales,low
0.61,0.48,3,250,2,0,0,0,sales,low
0.86,0.72,4,167,2,0,0,0,sales,low
0.14,0.77,4,166,5,0,0,0,sales,low
0.63,0.8,3,205,2,0,0,0,sales,low
0.79,0.57,3,250,3,0,0,0,sales,low
0.78,0.97,4,142,3,0,0,0,sales,low
0.14,0.52,4,217,6,0,0,0,sales,low
0.85,0.54,3,139,3,0,0,0,sales,low
0.85,0.75,4,139,3,0,0,0,sales,low
0.91,0.76,5,152,3,0,0,0,accounting,low
0.76,0.74,3,224,2,0,0,0,accounting,low
0.62,0.72,5,180,3,0,0,0,accounting,low
0.53,0.69,4,216,2,0,0,0,hr,low
0.97,0.63,3,133,3,0,0,0,hr,low
0.48,0.53,4,271,3,0,0,0,hr,low
0.5,0.55,4,148,3,1,0,0,hr,low
0.32,0.42,2,99,4,0,0,0,technical,low
0.58,0.77,4,196,2,1,0,0,technical,low
0.81,0.83,3,196,2,0,0,0,technical,low
0.48,0.84,4,228,3,0,0,0,technical,medium
0.96,0.88,4,165,2,0,0,0,technical,medium
0.56,0.9,3,235,2,0,0,0,technical,medium
