员工满意度,考核评分,项目数量,每月在公司工作时间,司龄,工作事故,是否离职,五年内是否升职,部门,薪水
0.67,0.99,5,237,3,0,0,0,product_mng,medium
0.75,0.37,3,256,3,0,0,0,product_mng,medium
0.7,0.98,4,194,2,0,0,0,IT,medium
0.71,0.74,3,202,2,0,0,0,RandD,medium
0.97,0.6,5,133,2,0,0,0,RandD,medium
0.5,0.48,3,246,3,0,0,0,RandD,medium
0.34,0.92,3,206,3,0,0,0,RandD,medium
0.67,0.74,3,204,3,0,0,0,RandD,medium
0.78,0.98,4,157,3,0,0,0,marketing,medium
0.52,0.91,4,187,2,0,0,0,sales,medium
0.91,0.51,2,211,2,0,0,0,accounting,medium
0.79,0.92,3,204,3,0,0,0,support,medium
0.83,0.53,5,182,2,1,0,0,technical,medium
0.74,0.76,3,244,3,0,0,0,management,medium
0.77,0.97,3,184,3,1,0,0,marketing,medium
0.49,0.71,2,117,3,0,0,0,marketing,high
0.94,0.89,3,230,3,1,0,0,marketing,high
0.99,0.91,3,241,2,0,0,0,sales,high
0.69,0.84,3,227,3,1,0,0,sales,high
0.88,0.59,5,147,4,0,0,0,sales,high
0.89,0.9,3,240,3,0,0,0,sales,high
0.8,0.58,4,238,2,0,0,0,sales,high
0.22,0.89,4,262,4,0,0,0,sales,high
0.87,0.83,4,215,2,0,0,0,sales,high
0.66,0.66,3,211,4,0,0,0,sales,high
0.9,0.68,3,156,3,1,0,0,sales,high
0.95,0.54,4,180,5,0,0,0,sales,high
0.49,0.56,4,260,6,0,0,0,sales,low
0.71,0.68,4,228,2,0,0,0,sales,low
0.2,0.96,2,249,3,0,0,0,sales,low
0.95,0.64,3,242,5,1,0,0,sales,low
0.68,0.8,2,254,2,1,0,0,sales,low
0.93,0.68,3,272,2,1,0,0,sales,low
0.85,0.57,5,210,3,0,0,0,sales,low
0.82,0.68,3,140,2,0,0,0,sales,low
0.87,0.42,5,252,5,0,0,0,sales,low
0.88,0.84,3,266,3,0,0,0,accounting,low
0.98,0.79,4,138,3,0,0,0,accounting,low
0.89,0.98,3,220,3,0,0,0,accounting,low
0.92,0.51,5,214,3,0,0,0,hr,low
0.48,0.6,2,121,5,0,0,0,hr,low
0.67,0.49,4,195,3,0,0,0,hr,low
0.84,0.55,3,135,3,0,0,0,hr,medium
0.97,0.78,4,261,2,0,0,0,technical,medium
0.65,0.53,5,205,3,1,0,0,technical,medium
0.79,0.87,5,240,2,1,0,0,technical,medium
0.75,0.75,2,141,4,0,0,0,technical,medium
0.69,0.64,4,200,3,0,0,0,technical,medium
0.85,0.6,4,257,3,0,0,0,technical,medium
0.34,0.41,2,141,3,0,0,0,technical,medium
0.97,0.68,3,185,2,0,0,0,technical,medium
0.39,0.99,6,235,6,0,0,0,technical,medium
0.54,0.81,4,264,4,0,0,0,technical,medium
0.78,0.67,4,260,3,0,0,0,technical,medium
0.49,0.79,4,158,3,0,0,0,support,high
0.17,0.83,6,195,5,0,0,0,support,high
0.98,0.81,3,180,2,1,0,0,support,high
0.9,1,2,114,5,0,0,0,support,high
0.24,0.89,5,228,4,1,0,0,support,high
0.92,0.79,5,243,3,1,0,0,support,high
0.36,0.72,3,179,3,0,0,0,support,high
0.19,0.76,2,158,3,0,0,0,support,high
0.75,0.76,4,254,4,0,0,0,support,low
0.91,0.81,3,220,3,1,0,0,support,low
0.72,0.95,5,171,3,0,0,0,support,low
0.62,0.64,4,142,2,0,0,0,technical,low
0.97,0.75,3,241,2,0,0,0,technical,low
0.69,0.64,3,275,3,0,0,0,technical,low
0.98,0.56,3,157,2,0,0,0,management,low
0.62,0.53,5,169,3,0,0,0,IT,low
0.59,0.82,2,233,2,0,0,0,IT,medium
0.73,0.98,4,160,3,0,0,0,IT,medium
0.71,0.79,3,189,3,0,0,0,IT,medium
0.85,0.58,4,273,4,0,0,0,IT,medium
0.8,0.94,4,141,3,1,0,0,product_mng,medium
0.48,0.38,3,134,3,0,0,0,product_mng,medium
0.64,0.4,3,248,3,0,0,0,product_mng,medium
0.19,0.64,6,222,5,0,0,0,product_mng,medium
0.82,0.69,5,219,3,0,0,0,IT,medium
0.99,0.96,4,202,3,0,0,0,RandD,medium
0.45,0.58,3,200,2,0,0,0,RandD,medium
0.89,0.89,3,138,2,0,0,0,RandD,medium
0.75,0.78,4,158,5,1,0,0,RandD,medium
0.8,0.86,3,136,2,0,0,0,RandD,medium
0.78,0.49,4,222,2,0,0,0,marketing,medium
0.95,0.76,3,236,2,1,0,0,sales,medium
0.68,0.67,4,135,2,0,0,0,accounting,medium
0.82,0.97,5,235,3,0,0,0,support,medium
0.9,0.69,4,274,2,0,0,0,technical,medium
0.59,0.99,3,235,2,0,0,0,management,medium
0.66,0.57,3,169,4,1,0,0,marketing,medium
0.63,0.56,5,286,4,0,0,0,marketing,medium
0.73,0.78,3,166,2,0,0,0,marketing,medium
0.63,0.93,3,236,4,0,0,0,sales,high
0.87,0.62,5,197,2,0,0,0,sales,low
0.62,0.87,6,169,2,1,0,0,sales,medium
0.53,0.9,3,210,3,0,0,0,sales,medium
0.94,0.83,4,156,2,0,0,0,sales,medium
0.94,0.55,5,231,2,0,0,0,sales,medium
0.55,0.64,3,101,2,1,0,0,sales,medium
0.58,0.72,4,259,3,0,0,0,sales,medium
0.98,0.88,5,203,5,1,0,0,sales,medium
0.74,0.76,5,255,4,0,0,0,sales,medium
0.65,0.48,3,131,3,1,0,0,sales,medium
0.97,0.79,2,272,2,0,0,0,sales,medium
0.58,0.75,4,253,2,0,0,0,sales,low
0.49,0.77,2,254,2,0,0,0,sales,low
0.69,0.98,3,214,2,0,0,0,sales,low
0.55,0.49,5,195,3,0,0,0,sales,low
0.65,0.89,4,240,3,0,0,0,sales,low
0.87,0.49,4,149,2,0,0,0,sales,low
0.12,0.7,4,276,4,0,0,0,sales,low
0.65,0.84,4,247,4,0,0,0,accounting,high
0.23,0.66,4,212,4,1,0,0,accounting,low
0.62,0.77,4,256,3,0,0,0,accounting,high
0.86,0.72,4,178,2,0,0,0,hr,high
0.85,0.6,4,255,4,0,0,0,hr,low
0.74,0.76,3,224,2,0,0,0,hr,low
0.53,0.76,2,204,4,0,0,0,hr,high
0.99,0.44,6,104,6,0,0,0,technical,low
0.48,0.81,5,113,3,0,0,0,technical,medium
0.72,0.74,3,243,2,0,0,0,technical,high
0.76,0.72,3,242,5,1,0,0,technical,medium
0.41,0.7,4,177,3,0,0,0,technical,medium
0.85,0.88,3,235,2,0,0,0,technical,medium
0.62,0.49,4,175,3,0,0,0,technical,medium
0.16,0.78,4,280,6,0,0,0,technical,high
0.58,0.61,3,205,2,0,0,0,technical,medium
0.73,0.95,4,243,3,0,0,0,technical,medium
0.28,0.76,3,150,2,0,0,0,technical,medium
0.77,0.61,4,178,2,1,0,0,support,high
0.85,0.86,3,231,3,0,0,0,support,medium
0.56,0.76,3,134,2,0,0,0,support,high
0.81,1,5,143,2,0,0,0,support,low
0.83,0.87,3,156,3,0,0,0,support,medium
0.49,0.48,4,249,3,0,0,0,support,medium
0.81,0.97,3,247,3,0,0,0,support,medium
0.56,0.92,5,222,4,0,0,0,support,medium
0.77,0.83,3,160,3,0,0,0,support,low
0.73,0.5,4,224,4,1,0,0,support,low
0.95,0.72,4,235,2,0,0,0,support,low
0.69,0.68,5,167,3,0,0,0,technical,low
0.79,0.89,3,104,4,0,0,0,technical,low
0.63,0.57,5,160,2,0,0,0,technical,low
0.8,0.79,4,168,3,0,0,0,management,low
0.64,0.61,2,153,2,0,0,0,IT,low
0.92,0.9,4,249,3,0,0,0,IT,low
0.96,0.75,4,177,2,0,0,0,IT,low
0.56,0.85,3,225,3,0,0,0,IT,high
0.37,0.61,3,186,2,0,0,0,IT,low
0.5,0.82,3,133,2,1,0,0,product_mng,low
0.49,0.58,4,213,4,1,0,0,product_mng,low
1,0.73,3,245,2,1,0,0,product_mng,low
0.82,0.75,5,160,3,1,0,0,product_mng,high
0.52,0.54,4,212,3,0,0,0,IT,low
0.76,0.96,4,135,3,1,0,1,RandD,low
0.2,0.53,3,149,4,0,0,1,RandD,low
0.6,0.9,4,178,3,0,0,1,RandD,high
0.69,0.9,6,224,4,0,0,1,RandD,low
0.93,0.51,3,196,2,0,0,1,RandD,medium
0.7,0.64,4,178,3,1,0,1,marketing,high
0.56,0.54,4,191,2,1,0,1,sales,medium
0.97,0.61,4,167,3,0,0,1,accounting,high
0.24,0.65,6,275,5,1,0,1,support,medium
0.83,0.91,3,168,3,0,0,1,technical,medium
0.55,0.85,3,152,2,0,0,1,management,medium
0.68,0.99,3,263,3,1,0,1,marketing,medium
0.48,0.53,3,113,4,0,0,0,marketing,medium
0.75,0.95,3,253,3,0,0,0,marketing,medium
0.61,0.5,4,271,3,1,0,0,sales,medium
0.5,0.74,4,165,2,1,0,0,sales,medium
0.78,0.54,5,257,3,0,0,0,sales,high
0.61,0.68,4,244,3,0,0,0,sales,low
0.48,0.5,4,179,3,0,0,0,sales,medium
0.93,0.92,3,248,2,0,0,0,sales,medium
0.78,0.58,3,224,2,0,0,0,sales,medium
0.92,0.99,5,236,4,0,0,0,sales,medium
0.71,0.98,5,213,3,0,0,0,sales,medium
0.15,0.42,4,238,3,0,0,0,sales,medium
0.14,0.83,5,153,5,1,0,0,sales,medium
0.56,0.72,4,247,2,0,0,0,sales,medium
1,0.84,3,154,3,0,0,0,sales,medium
0.77,0.82,3,147,4,0,0,0,sales,high
0.86,0.66,3,150,2,0,0,0,sales,low
0.88,0.95,3,137,3,0,0,0,sales,low
0.85,0.84,5,179,3,0,0,0,sales,low
0.95,0.56,5,194,2,0,0,0,sales,high
0.65,0.65,4,224,3,0,0,0,sales,low
0.7,0.55,3,253,2,1,0,0,accounting,low
0.6,0.55,3,177,3,1,0,0,accounting,low
0.84,0.83,3,215,3,0,0,0,accounting,high
0.23,0.59,5,245,5,0,0,0,hr,low
0.89,0.75,3,134,3,0,0,0,hr,low
0.98,0.91,4,273,2,0,0,0,hr,low
0.88,0.83,4,163,3,0,0,0,hr,low
0.87,0.52,3,152,4,0,0,0,technical,low
0.93,0.96,3,268,4,0,0,0,technical,low
0.13,0.95,5,149,2,0,0,0,technical,low
0.99,0.56,6,128,4,0,0,0,technical,medium
0.52,0.51,3,218,2,1,0,0,technical,medium
0.58,0.98,3,146,3,0,0,0,technical,medium
0.85,0.57,5,190,2,1,0,0,technical,medium
0.41,0.59,2,182,3,0,0,0,technical,medium
1,0.8,5,162,3,1,0,0,technical,medium
0.63,0.64,3,243,3,0,0,0,technical,medium
0.63,0.58,4,141,3,1,0,0,technical,medium
0.63,0.9,3,142,3,0,0,0,support,medium
0.59,0.62,3,203,4,0,0,0,support,medium
0.88,0.77,4,168,4,0,0,0,support,medium
0.72,0.7,3,149,3,0,0,0,support,medium
0.67,0.81,4,168,2,0,0,0,support,high
0.41,0.54,2,190,4,0,0,0,support,low
0.3,0.68,3,229,6,0,0,0,support,medium
0.83,0.84,3,249,2,0,0,0,support,medium
0.73,0.93,4,162,2,1,0,0,support,medium
0.87,0.9,4,163,2,0,0,0,support,medium
0.93,0.74,2,169,4,0,0,0,support,low
0.97,0.91,4,257,3,1,0,0,technical,low
0.7,0.54,4,150,4,0,0,0,technical,low
0.66,0.95,4,183,3,0,0,0,technical,low
0.62,0.66,3,208,3,0,0,0,management,low
0.56,0.52,4,158,2,0,0,0,IT,low
0.32,0.72,2,240,5,0,0,0,IT,low
0.55,0.81,5,251,3,0,0,0,IT,low
0.69,0.91,5,205,2,0,0,0,IT,low
0.91,0.63,4,226,3,1,0,0,IT,low
0.33,0.82,5,249,6,0,0,0,product_mng,low
0.37,0.74,2,197,3,0,0,0,product_mng,low
0.95,0.57,5,216,3,0,0,0,product_mng,low
0.17,0.91,4,260,5,0,0,0,product_mng,low
0.95,0.53,4,263,3,0,0,0,IT,low
0.27,0.69,2,177,5,0,0,0,RandD,low
0.91,0.95,4,171,3,0,0,0,RandD,low
0.49,0.61,3,148,2,1,0,0,RandD,low
0.6,0.56,4,138,3,0,0,0,RandD,low
0.52,0.57,4,183,3,0,0,0,RandD,low
0.54,0.65,3,202,3,0,0,0,marketing,low
0.86,0.53,4,160,2,1,0,0,sales,medium
0.78,0.87,4,264,3,0,0,0,accounting,medium
0.6,0.81,4,245,3,1,0,0,support,medium
0.15,0.91,2,207,3,0,0,0,technical,medium
0.72,0.92,3,225,3,0,0,0,management,medium
0.94,0.85,4,236,2,0,0,0,marketing,medium
0.92,0.56,4,170,3,0,0,0,marketing,medium
0.6,0.88,3,261,3,1,0,0,marketing,medium
0.41,0.68,4,273,3,0,0,0,sales,medium
0.5,0.43,3,184,2,0,0,0,sales,medium
0.8,0.91,3,202,2,0,0,0,sales,medium
0.67,0.83,4,195,3,0,0,0,sales,medium
0.71,0.88,4,266,3,0,0,0,sales,high
0.66,0.85,3,266,5,0,0,0,sales,low
0.77,0.74,5,263,2,0,0,0,sales,medium
0.62,0.54,3,142,2,0,0,0,sales,medium
0.95,0.53,4,162,3,0,0,0,sales,medium
0.89,0.75,5,258,2,0,0,0,sales,medium
0.74,0.83,4,170,2,0,0,0,sales,low
0.19,0.8,4,249,5,0,0,0,sales,low
0.83,0.77,3,171,3,0,0,0,sales,low
0.53,0.64,2,177,4,0,0,0,sales,low
0.98,0.75,5,188,2,0,0,0,sales,low
0.74,0.99,5,146,2,0,0,0,sales,low
0.22,0.88,5,154,5,0,0,0,sales,low
0.76,0.68,4,204,3,1,0,0,sales,low
0.89,0.91,5,224,3,1,0,0,sales,low
0.5,0.84,3,156,4,0,0,0,accounting,low
0.17,0.82,6,259,4,0,0,0,accounting,low
0.46,0.38,6,165,3,0,0,0,accounting,low
0.68,0.78,3,264,3,0,0,0,hr,low
0.77,0.86,4,215,2,0,0,0,hr,low
0.68,0.83,3,133,3,0,0,0,hr,low
0.15,0.7,4,220,4,0,0,0,hr,low
0.7,0.98,4,176,5,0,0,0,technical,low
0.66,0.96,4,103,2,0,0,0,technical,low
0.54,0.52,5,155,3,0,0,0,technical,low
0.57,0.57,4,141,3,0,0,0,technical,low
0.78,0.58,3,150,3,1,0,0,technical,low
0.14,0.83,5,171,6,0,0,0,technical,medium
0.73,0.86,4,179,3,0,0,0,technical,medium
0.65,0.97,4,145,2,0,0,0,technical,medium
0.31,0.59,3,176,3,0,0,0,technical,medium
0.77,0.55,2,172,2,0,0,0,technical,medium
0.68,0.85,3,243,4,0,0,0,technical,medium
0.79,0.69,4,209,2,0,0,0,support,medium
0.92,0.62,4,196,3,0,0,0,support,medium
0.77,0.96,6,225,4,0,0,0,support,medium
0.48,0.89,3,261,2,0,0,0,support,medium
0.63,0.66,4,157,2,0,0,0,support,medium
0.92,0.49,5,259,3,1,0,0,support,medium
0.5,0.85,4,224,6,0,0,0,support,high
0.52,0.91,5,193,2,0,0,0,support,low
0.73,0.79,4,157,3,0,0,0,support,medium
0.99,0.87,4,223,3,0,0,0,support,medium
0.91,0.99,3,188,3,1,0,0,support,medium
0.85,0.79,3,217,2,0,0,0,technical,medium
0.95,0.69,4,207,2,1,0,0,technical,low
0.67,0.85,3,153,4,0,0,0,technical,low
0.86,0.55,3,269,2,0,0,0,management,low
0.71,0.54,4,198,3,0,0,0,IT,low
0.99,0.95,4,102,5,0,0,0,IT,low
0.57,0.61,3,167,2,1,0,0,IT,low
0.98,0.72,3,252,2,0,0,0,IT,low
0.62,0.58,3,192,2,0,0,0,IT,low
0.74,0.79,5,237,4,0,0,0,product_mng,low
0.7,0.6,4,158,3,0,0,0,product_mng,low
0.8,0.93,3,260,3,0,0,0,product_mng,low
0.65,0.69,4,153,3,0,0,0,product_mng,low
0.53,0.52,3,233,4,0,0,0,IT,low
0.43,0.62,2,180,3,0,0,0,RandD,low
0.59,0.65,4,163,3,1,0,0,RandD,low
0.16,0.96,6,211,6,1,0,0,RandD,low
0.84,0.8,3,151,3,1,0,0,RandD,low
0.78,0.95,3,249,4,0,0,0,RandD,low
0.66,0.91,5,199,3,1,0,0,marketing,low
0.7,0.74,4,247,2,0,0,0,sales,low
0.73,0.63,4,174,3,0,0,0,accounting,low
0.65,0.88,4,268,4,0,0,0,support,medium
0.79,0.59,5,197,4,0,0,0,technical,medium
0.57,0.68,4,154,3,1,0,0,management,medium
0.24,0.58,5,279,4,0,0,0,marketing,medium
0.95,0.78,3,204,2,1,0,0,marketing,medium
0.38,0.54,2,112,3,0,0,0,marketing,medium
0.9,0.78,4,261,2,1,0,0,sales,medium
0.5,0.4,3,180,4,0,0,0,sales,medium
0.68,0.61,3,261,5,0,0,0,sales,medium
0.5,0.78,6,138,3,0,0,0,sales,medium
0.85,0.81,4,164,4,0,0,0,sales,medium
0.95,0.52,3,144,3,0,0,0,sales,medium
0.92,0.92,3,244,2,0,0,0,sales,high
0.83,0.87,5,233,3,0,0,0,sales,low
0.9,0.78,4,225,2,1,0,0,sales,medium
0.21,0.77,6,215,4,0,0,0,sales,medium
0.94,0.86,3,223,4,0,0,0,sales,medium
0.7,0.85,4,232,3,0,0,0,sales,medium
0.54,0.76,3,157,4,0,0,0,sales,low
0.77,0.65,4,268,3,0,0,0,sales,low
0.62,0.49,3,158,2,0,0,0,sales,low
0.93,0.55,5,222,2,0,0,0,sales,low
0.81,0.86,3,210,3,0,0,0,sales,low
0.99,0.79,4,133,2,0,0,0,sales,low
0.78,0.49,3,224,3,0,0,0,sales,low
0.66,0.63,5,264,5,0,0,0,accounting,low
0.9,0.72,5,237,2,0,0,0,accounting,low
0.74,0.53,5,141,2,0,0,0,accounting,low
0.65,0.78,4,238,5,1,0,0,hr,low
0.99,0.52,4,167,3,0,0,0,hr,low
0.83,0.72,4,161,3,0,0,0,hr,low
0.6,0.82,4,194,3,0,0,0,hr,low
0.55,0.93,3,217,3,1,0,0,technical,low
0.96,0.71,3,170,3,0,0,0,technical,low
0.83,0.94,4,243,3,0,0,0,technical,low
0.95,0.7,4,267,3,1,0,0,technical,low
0.77,0.88,2,169,3,0,0,0,technical,medium
0.83,0.95,3,255,3,0,0,0,technical,medium
0.87,0.54,4,211,3,0,0,0,technical,medium
0.69,0.49,3,198,4,0,0,0,technical,medium
0.67,0.58,3,246,3,0,0,0,technical,medium
0.55,0.49,3,146,2,0,0,0,technical,medium
0.55,0.82,4,134,6,0,0,0,technical,medium
0.39,0.48,3,169,3,0,0,0,support,medium
0.51,0.93,5,232,3,0,0,0,support,medium
0.39,0.38,2,106,3,1,0,0,support,medium
0.96,0.93,4,260,3,0,0,0,support,medium
0.68,0.81,3,232,2,0,0,0,support,medium
0.67,0.71,4,173,3,0,0,0,support,high
0.68,0.44,5,152,5,0,0,0,support,low
0.56,0.58,3,173,3,0,0,0,support,medium
0.9,0.7,3,274,3,0,0,0,support,medium
0.69,0.59,3,233,3,0,0,0,support,medium
0.99,0.71,4,232,3,0,0,0,support,medium
0.42,0.59,3,156,2,0,0,0,technical,low
0.28,0.51,3,124,3,0,0,0,technical,low
0.55,0.65,3,207,3,0,0,0,technical,low
0.91,0.53,3,273,6,0,0,0,management,low
0.53,0.98,3,219,4,0,0,0,IT,low
0.87,0.74,4,207,3,0,0,0,IT,low
0.57,0.6,4,248,4,0,0,0,IT,low
0.59,0.77,3,169,3,0,0,0,IT,low
0.76,0.89,4,181,3,0,0,0,IT,low
0.59,0.42,3,196,3,0,0,0,product_mng,low
0.5,0.54,3,254,2,0,0,0,product_mng,low
0.55,0.55,4,191,4,0,0,0,product_mng,low
0.92,0.53,3,238,2,0,0,0,product_mng,low
0.8,0.51,5,196,3,0,0,0,IT,low
0.93,0.66,4,228,3,0,0,0,RandD,low
0.67,0.57,4,165,3,0,0,0,RandD,low
0.78,0.55,3,144,2,0,0,0,RandD,low
0.61,0.7,4,243,3,0,0,0,RandD,low
0.74,0.84,3,206,3,0,0,0,RandD,low
0.5,0.49,3,180,3,1,0,0,marketing,low
0.84,0.96,3,161,2,1,0,0,sales,low
0.89,0.55,4,196,2,0,0,0,accounting,medium
0.77,0.89,5,152,3,0,0,0,support,medium
0.64,0.71,3,231,4,0,0,0,technical,medium
0.77,0.89,2,215,5,1,0,0,management,medium
0.74,0.58,4,233,4,0,0,0,marketing,medium
0.88,0.96,4,155,2,0,0,0,marketing,medium
0.88,0.96,5,182,4,1,0,0,marketing,medium
0.89,0.88,3,165,4,0,0,0,sales,medium
0.74,0.59,2,257,4,1,0,0,sales,medium
0.63,0.74,4,155,2,0,0,0,sales,medium
0.63,0.8,4,243,2,0,0,0,sales,medium
0.68,0.92,2,184,4,0,0,0,sales,medium
0.14,0.81,4,138,3,1,0,0,sales,high
0.86,0.94,5,209,4,0,0,0,sales,low
0.73,0.53,3,205,2,0,0,0,sales,medium
0.57,0.56,3,191,3,0,0,0,sales,medium
0.97,0.75,5,270,3,1,0,0,sales,medium
0.67,0.36,4,97,4,0,0,0,sales,medium
0.89,0.74,4,174,2,0,0,0,sales,low
0.8,0.96,5,124,3,0,0,0,sales,low
0.3,0.51,2,178,3,0,0,0,sales,low
0.14,0.73,5,266,6,0,0,0,sales,low
0.91,0.8,4,181,3,0,0,0,sales,low
0.49,0.81,4,233,3,0,0,0,sales,low
0.57,0.68,3,254,4,0,0,0,sales,low
0.59,0.62,3,219,3,0,0,0,sales,low
0.5,0.7,5,166,2,0,0,0,accounting,low
0.69,0.97,3,158,2,0,0,0,accounting,low
0.81,0.68,3,151,3,0,0,0,accounting,low
0.79,0.82,3,98,3,1,0,0,hr,low
0.55,0.91,4,187,4,1,0,0,hr,low
0.92,0.62,4,266,2,0,0,0,hr,low
0.94,0.59,5,250,3,0,0,0,hr,low
0.67,0.55,5,193,3,0,0,0,technical,low
0.53,0.92,4,223,3,1,0,0,technical,low
0.77,0.59,5,189,5,0,0,0,technical,low
0.57,0.82,5,138,3,0,0,0,technical,low
0.64,0.97,4,268,2,0,0,0,technical,low
0.35,1,6,186,2,0,0,0,technical,low
0.66,0.71,3,136,3,1,0,0,technical,medium
0.59,0.84,4,245,3,0,0,0,technical,medium
0.49,0.93,4,184,3,0,0,0,technical,medium
0.91,0.99,5,152,3,0,0,0,technical,medium
0.12,0.6,2,194,4,0,0,0,technical,medium
0.74,0.68,3,242,5,1,0,0,support,medium
0.84,0.94,4,246,2,1,0,0,support,medium
0.51,0.99,4,211,3,0,0,0,support,medium
0.94,0.71,4,189,3,0,0,0,support,medium
0.74,0.66,3,254,2,0,0,0,support,medium
0.52,0.54,5,239,3,0,0,0,support,medium
0.31,0.92,4,133,6,0,0,0,support,medium
0.72,0.59,3,255,2,0,0,0,support,high
0.92,1,3,212,2,0,0,0,support,low
0.56,0.64,3,270,3,0,0,0,support,medium
0.76,0.45,5,177,6,0,0,0,support,medium
0.59,0.9,4,261,4,0,0,0,technical,medium
0.5,0.74,3,220,3,0,0,0,technical,medium
0.88,0.72,2,144,4,1,0,0,technical,low
0.86,0.49,4,274,2,0,0,0,management,low
0.66,0.99,4,195,3,0,0,0,IT,low
0.7,0.69,4,158,3,0,0,0,IT,low
0.98,0.93,5,145,4,0,0,0,IT,low
0.61,0.73,3,165,3,1,0,0,IT,low
0.57,0.66,4,270,2,0,0,0,IT,low
0.84,0.91,5,208,3,0,0,0,product_mng,low
0.76,0.4,2,245,5,0,0,0,product_mng,medium
0.64,0.99,4,180,4,0,0,0,product_mng,medium
0.87,0.7,5,225,3,0,0,0,product_mng,medium
0.62,0.69,3,261,2,0,0,0,IT,medium
0.16,0.99,3,213,6,1,0,1,RandD,medium
